agent_id,svi,original_mode,final_mode,status,evacuation_time_minutes,total_distance_m,start_lat,start_lon,end_lat,end_lon,fail_reason,started_at,arrived_at,used_public_transport,segments_completed,total_segments,start_in_evacuation_area,end_in_evacuation_area,total_wait_time_minutes,total_transit_time_minutes,total_walking_time_minutes,stations_visited,routes_taken,target_destination_name,target_destination_type,target_destination_lat,target_destination_lon,target_destination_distance_m,destination_category,is_home_destination
42_0398,0.7108577164780805,TRAIN,WALKING,EVACUATING,180.0,10749.917882154785,48.8500343,2.3436142,48.75880050443343,2.3071150077195783,,2025-09-01T08:00:00,2025-09-01T11:00:00,true,0,1,true,true,0.0,0.0,0.0,[],[],Salle des Fêtes,community_centre,48.4242508,2.1634458,49182.01527535711,Community,false
42_0398,0.7108577164780805,TRAIN,WALKING,EVACUATING,180.0,10749.917882154785,48.8500343,2.3436142,48.75880050443343,2.3071150077195783,,2025-09-01T08:00:00,2025-09-01T11:00:00,true,0,1,true,true,0.0,0.0,0.0,[],[],Salle des Fêtes,community_centre,48.4242508,2.1634458,49182.01527535711,Community,false
42_0398,0.7108577164780805,TRAIN,WALKING,EVACUATING,180.0,10749.917882154785,48.8500343,2.3436142,48.75880050443343,2.3071150077195783,,2025-09-01T08:00:00,2025-09-01T11:00:00,true,0,1,true,true,0.0,0.0,0.0,[],[],Salle des Fêtes,community_centre,48.4242508,2.1634458,49182.01527535711,Community,false
42_0408,0.6286338697149639,TRAIN,WALKING,EVACUATING,180.0,11093.132183488451,48.8408553,2.2272071,48.80310507746427,2.1015072185619097,,2025-09-01T08:00:00,2025-09-01T11:00:00,true,0,1,true,true,0.0,0.0,0.0,[],[],Église Saint-Aignan,place_of_worship,48.7774367,1.66293,41898.837044425,Religious,false
42_0412,0.34460045188641936,TRAIN,WALKING,EVACUATING,180.0,11613.207045609728,48.8553693,2.3955231,48.910855861906334,2.5141459414464187,,2025-09-01T08:00:00,2025-09-01T11:00:00,true,0,1,true,true,0.0,0.0,0.0,[],[],Notre Dame des Lys,school,48.9519554,3.0189843,46817.61831646939,Educational,false
42_0412,0.34460045188641936,TRAIN,WALKING,EVACUATING,180.0,11613.207045609728,48.8553693,2.3955231,48.910855861906334,2.5141459414464187,,2025-09-01T08:00:00,2025-09-01T11:00:00,true,0,1,true,true,0.0,0.0,0.0,[],[],Notre Dame des Lys,school,48.9519554,3.0189843,46817.61831646939,Educational,false
42_0426,0.37139035136115955,TRAIN,WALKING,EVACUATING,180.0,9289.651175930096,48.5451041,2.6646389,48.4730745,2.7012658,,2025-09-01T08:00:00,2025-09-01T11:00:00,true,0,1,true,false,0.0,0.0,0.0,[],[],École maternelle Robert Lesourd,school,48.4738729,2.701844,8390.240448640212,Educational,false
42_0426,0.37139035136115955,TRAIN,WALKING,EVACUATING,180.0,9289.651175930096,48.5451041,2.6646389,48.4730745,2.7012658,,2025-09-01T08:00:00,2025-09-01T11:00:00,true,0,1,true,false,0.0,0.0,0.0,[],[],École maternelle Robert Lesourd,school,48.4738729,2.701844,8390.240448640212,Educational,false
42_0454,0.5105416084940109,TRAIN,WALKING,EVACUATING,180.0,11516.434648102613,48.8811994,2.8599494,48.896673522639404,2.9868179695831,,2025-09-01T08:00:00,2025-09-01T11:00:00,true,0,1,true,true,0.0,0.0,0.0,[],[],Église Saint-Claude,place_of_worship,48.8994947,3.0405812,13382.96168985271,Religious,false
42_0454,0.5105416084940109,TRAIN,WALKING,EVACUATING,180.0,11516.434648102613,48.8811994,2.8599494,48.896673522639404,2.9868179695831,,2025-09-01T08:00:00,2025-09-01T11:00:00,true,0,1,true,true,0.0,0.0,0.0,[],[],Église Saint-Claude,place_of_worship,48.8994947,3.0405812,13382.96168985271,Religious,false
42_0462,0.5599616253328176,TRAIN,WALKING,EVACUATING,180.0,10016.230943885927,48.8479688,2.366224,48.77148935824741,2.312290698863239,,2025-09-01T08:00:00,2025-09-01T11:00:00,true,0,1,true,true,0.0,0.0,0.0,[],[],Salle des Fêtes,community_centre,48.4242508,2.1634458,49408.08172528395,Community,false
42_0462,0.5599616253328176,TRAIN,WALKING,EVACUATING,180.0,10016.230943885927,48.8479688,2.366224,48.77148935824741,2.312290698863239,,2025-09-01T08:00:00,2025-09-01T11:00:00,true,0,1,true,true,0.0,0.0,0.0,[],[],Salle des Fêtes,community_centre,48.4242508,2.1634458,49408.08172528395,Community,false
42_0246,0.5493994898645568,TRAIN,WALKING,EVACUATING,180.0,10711.25126451397,48.8372443,2.345434,48.74706988764218,2.303740259973536,,2025-09-01T08:00:00,2025-09-01T11:00:00,true,0,1,true,true,0.0,0.0,0.0,[],[],Salle des Fêtes,community_centre,48.4242508,2.1634458,47814.26480610731,Community,false
42_0246,0.5493994898645568,TRAIN,WALKING,EVACUATING,180.0,10711.25126451397,48.8372443,2.345434,48.74706988764218,2.303740259973536,,2025-09-01T08:00:00,2025-09-01T11:00:00,true,0,1,true,true,0.0,0.0,0.0,[],[],Salle des Fêtes,community_centre,48.4242508,2.1634458,47814.26480610731,Community,false
42_0257,0.41469974614699157,TRAIN,WALKING,EVACUATING,180.0,10935.744805082546,48.7734156,2.3168676,48.68131622455975,2.2842460558890583,,2025-09-01T08:00:00,2025-09-01T11:00:00,true,0,1,true,true,0.0,0.0,0.0,[],[],Salle des Fêtes,community_centre,48.4242508,2.1634458,40425.716159645315,Community,false
42_0257,0.41469974614699157,TRAIN,WALKING,EVACUATING,180.0,10935.744805082546,48.7734156,2.3168676,48.68131622455975,2.2842460558890583,,2025-09-01T08:00:00,2025-09-01T11:00:00,true,0,1,true,true,0.0,0.0,0.0,[],[],Salle des Fêtes,community_centre,48.4242508,2.1634458,40425.716159645315,Community,false
42_0262,0.37197502818200023,TRAIN,WALKING,FAILED,1.0,0.0,48.8916751,2.2576113,48.8916751,2.2576113,Could not find any safe destination,2025-09-01T08:00:00,2025-09-01T08:01:00,false,0,0,true,true,0.0,0.0,0.0,[],[],,Unknown,,,0.0,Unknown,false
42_0262,0.37197502818200023,TRAIN,WALKING,FAILED,1.0,0.0,48.8916751,2.2576113,48.8916751,2.2576113,Could not find any safe destination,2025-09-01T08:00:00,2025-09-01T08:01:00,false,0,0,true,true,0.0,0.0,0.0,[],[],,Unknown,,,0.0,Unknown,false
42_0263,0.42627141557779125,TRAIN,WALKING,EVACUATING,180.0,10869.344010629975,48.8554896,2.3256851,48.762490273100795,2.3085775907528654,,2025-09-01T08:00:00,2025-09-01T11:00:00,true,0,1,true,true,0.0,0.0,0.0,[],[],Salle des Fêtes,community_centre,48.4242508,2.1634458,49377.33793073254,Community,false
42_0275,0.257968433832979,TRAIN,WALKING,EVACUATING,180.0,10624.474786850658,48.8526939,2.3082586,48.764753618427,2.309519925590417,,2025-09-01T08:00:00,2025-09-01T11:00:00,true,0,1,true,true,0.0,0.0,0.0,[],[],Salle des Fêtes,community_centre,48.4242508,2.1634458,48800.08079806029,Community,false
42_0275,0.257968433832979,TRAIN,WALKING,EVACUATING,180.0,10624.474786850658,48.8526939,2.3082586,48.764753618427,2.309519925590417,,2025-09-01T08:00:00,2025-09-01T11:00:00,true,0,1,true,true,0.0,0.0,0.0,[],[],Salle des Fêtes,community_centre,48.4242508,2.1634458,48800.08079806029,Community,false
42_0302,0.576654701171191,TRAIN,WALKING,EVACUATING,180.0,10012.645188936647,48.8419803,2.3667597,48.76735256841274,2.310543750146827,,2025-09-01T08:00:00,2025-09-01T11:00:00,true,0,1,true,true,0.0,0.0,0.0,[],[],Salle des Fêtes,community_centre,48.4242508,2.1634458,48793.5073058195,Community,false
42_0302,0.576654701171191,TRAIN,WALKING,EVACUATING,180.0,10012.645188936647,48.8419803,2.3667597,48.76735256841274,2.310543750146827,,2025-09-01T08:00:00,2025-09-01T11:00:00,true,0,1,true,true,0.0,0.0,0.0,[],[],Salle des Fêtes,community_centre,48.4242508,2.1634458,48793.5073058195,Community,false
42_0303,0.3726926538307709,TRAIN,WALKING,EVACUATING,180.0,11040.762411320107,48.8316226,2.325134,48.73585542926753,2.3014719598905664,,2025-09-01T08:00:00,2025-09-01T11:00:00,true,0,1,true,true,0.0,0.0,0.0,[],[],Salle des Fêtes,community_centre,48.4242508,2.1634458,46859.804925404664,Community,false
42_0303,0.3726926538307709,TRAIN,WALKING,EVACUATING,180.0,11040.762411320107,48.8316226,2.325134,48.73585542926753,2.3014719598905664,,2025-09-01T08:00:00,2025-09-01T11:00:00,true,0,1,true,true,0.0,0.0,0.0,[],[],Salle des Fêtes,community_centre,48.4242508,2.1634458,46859.804925404664,Community,false
42_0336,0.47314083445436,TRAIN,WALKING,EVACUATING,180.0,11081.900529042281,48.8272724,2.4643669,48.868171011114995,2.5930080063869267,,2025-09-01T08:00:00,2025-09-01T11:00:00,true,0,1,true,true,0.0,0.0,0.0,[],[],Église Saint-Claude,place_of_worship,48.8994947,3.0405812,42911.27014114014,Religious,false
42_0336,0.47314083445436,TRAIN,WALKING,EVACUATING,180.0,11081.900529042281,48.8272724,2.4643669,48.868171011114995,2.5930080063869267,,2025-09-01T08:00:00,2025-09-01T11:00:00,true,0,1,true,true,0.0,0.0,0.0,[],[],Église Saint-Claude,place_of_worship,48.8994947,3.0405812,42911.27014114014,Religious,false
42_0337,0.43573309759680356,TRAIN,WALKING,EVACUATING,180.0,10760.293512614397,48.8678051,2.3333509,48.77640551641127,2.3142912076518547,,2025-09-01T08:00:00,2025-09-01T11:00:00,true,0,1,true,true,0.0,0.0,0.0,[],[],Salle des Fêtes,community_centre,48.4242508,2.1634458,50905.06715693219,Community,false
42_0337,0.43573309759680356,TRAIN,WALKING,EVACUATING,180.0,10760.293512614397,48.8678051,2.3333509,48.77640551641127,2.3142912076518547,,2025-09-01T08:00:00,2025-09-01T11:00:00,true,0,1,true,true,0.0,0.0,0.0,[],[],Salle des Fêtes,community_centre,48.4242508,2.1634458,50905.06715693219,Community,false
42_0352,0.27474479345291325,TRAIN,WALKING,FAILED,1.0,0.0,48.8610587,2.34721,48.8610587,2.34721,Could not find any safe destination,2025-09-01T08:00:00,2025-09-01T08:01:00,false,0,0,true,true,0.0,0.0,0.0,[],[],,Unknown,,,0.0,Unknown,false
42_0353,0.5890396845012388,TRAIN,WALKING,EVACUATING,180.0,10632.113965587218,48.8474167,2.4341416,48.86694522955806,2.5710413637219074,,2025-09-01T08:00:00,2025-09-01T11:00:00,true,0,1,true,true,0.0,0.0,0.0,[],[],Église Saint-Claude,place_of_worship,48.8994947,3.0405812,44716.69523915528,Religious,false
